c1_m1;c1_m2;c1_m3;c2_m1;c2_m2;c2_m3;aspiracjaK;aspiracjaR;sredniKoszt;ryzyko;Rozwi¹zanie
0;308;792;453;345;402;95937;1091.23;95715.3;1057.19;1.569821224003988e-006
0;291;809;441;379;380;96437;1091.23;96271.2;966.176;1.215187006155126e-006
0;291;809;441;379;380;96937;1091.23;96271.2;966.176;4.879179092327976e-006
0;258;842;418;445;337;97437;1091.23;97350.8;792.958;6.322086462918189e-007
0;251;849;399;479;322;97937;1091.23;97833.9;694.108;7.56075937093125e-007
0;238;862;387;510;303;98437;1091.23;98323.6;619.241;8.321688764950771e-007
0;243;857;380;556;264;98937;1091.23;98911.3;551.581;1.893956744513923e-007
0;224;876;346;584;270;99437;1091.23;99367.8;501.909;5.086586386074136e-007
0;686;414;445;88;667;85937;1191.23;89799.8;1805.28;-0.2831719513817667
0;675;425;434;102;664;86437;1191.23;90045.7;1764.66;-0.2644617044333003
0;655;445;431;111;658;86937;1191.23;90291.2;1724.23;-0.2458062069967969
0;635;465;428;120;652;87437;1191.23;90536.6;1683.79;-0.2271507095602927
0;615;485;424;129;647;87937;1191.23;90780.7;1643.29;-0.2084692427942086
0;604;496;413;143;644;88437;1191.23;91026.6;1602.69;-0.1897753776995445
0;580;520;413;150;637;88937;1191.23;91274.1;1562.54;-0.1712708028744907
0;582;518;392;171;637;89437;1191.23;91519.8;1522.19;-0.15263670830735
0;562;538;388;180;632;89937;1191.23;91763.9;1482.27;-0.1342159424221092
0;546;554;381;192;627;90437;1191.23;92019.6;1442.49;-0.1159761002706217
0;529;571;379;203;618;90937;1191.23;92274.7;1403.77;-0.09803448124999455
0;516;584;377;216;607;91437;1191.23;92532;1365.12;-0.08024292765116532
0;510;590;378;232;590;91937;1191.23;92790;1326.75;-0.06251400741030107
0;499;601;376;246;578;92437;1191.23;93048.3;1288.38;-0.04480346925993264
0;491;609;378;261;561;92937;1191.23;93306.7;1249.99;-0.02709956218052807
0;480;620;376;275;549;93437;1191.23;93565;1211.56;-0.009377349876902299
0;390;710;414;256;530;93937;1191.23;93926.4;1191.16;7.769069617380273e-008
0;370;730;440;276;484;94437;1191.23;94361.9;1179.52;5.398495161586939e-007
0;332;768;470;296;434;94937;1191.23;94916.8;1189.85;1.481300566293558e-007
0;321;779;462;319;419;95437;1191.23;95289.9;1127.23;1.078297186395815e-006
0;313;787;457;334;409;95937;1191.23;95538.7;1086.92;2.918892837880909e-006
0;291;809;441;379;380;96437;1191.23;96271.2;966.176;1.215417562210219e-006
0;291;809;441;379;380;96937;1191.23;96271.2;966.176;4.87940964838307e-006
0;258;842;418;445;337;97437;1191.23;97350.8;792.958;6.324392023469126e-007
0;251;849;399;479;322;97937;1191.23;97833.9;694.108;7.563064931482187e-007
0;238;862;387;510;303;98437;1191.23;98323.6;619.241;8.323994325501708e-007
0;243;857;380;556;264;98937;1191.23;98911.3;551.581;1.896262305064859e-007
0;224;876;346;584;270;99437;1191.23;99367.8;501.909;5.088891946625073e-007
